[GIN] 2026/04/26 - 22:59:39 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/04/26 - 22:59:41 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/04/26 - 22:59:41 | 200 |      2.0823ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/26 - 22:59:41 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/04/26 - 22:59:41 | 401 |    696.3969ms |       127.0.0.1 | POST     "/api/me"
[GIN] 2026/04/26 - 22:59:42 | 401 |    214.7473ms |       127.0.0.1 | POST     "/api/me"
[GIN] 2026/04/26 - 22:59:47 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/26 - 22:59:47 | 200 |            0s |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/26 - 22:59:47 | 200 |            0s |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/26 - 22:59:49 | 401 |    208.3272ms |       127.0.0.1 | POST     "/api/me"
[GIN] 2026/04/26 - 22:59:54 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/26 - 23:00:14 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/04/26 - 23:00:14 | 200 |            0s |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/26 - 23:02:37 | 200 |         2m42s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/04/26 - 23:02:47 | 200 |            0s |       127.0.0.1 | HEAD     "/"
[GIN] 2026/04/26 - 23:02:47 | 200 |       998.9µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/04/26 - 23:02:59 | 200 |   11.0395852s |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/04/26 - 23:04:18 | 500 |          1m0s |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/04/26 - 23:07:47 | 500 |          1m0s |       127.0.0.1 | POST     "/api/generate"
